servei,variable,ok,missatge
arome0025,PSEUDO_ADIABATIC_POTENTIAL_TEMPERATURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,PSEUDO_ADIABATIC_POTENTIAL_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,REFLECTIVITY_DBZ__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,RELATIVE_DIVERGENCE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,RELATIVE_HUMIDITY__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,RELATIVE_VORTICITY__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,SNOW_DEPTH__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,SPECIFIC_CLOUD_ICE_WATER_CONTENT__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_CLOUD_ICE_WATER_CONTENT__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_GRAUPEL_WATER_CONTENT__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_GRAUPEL_WATER_CONTENT__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_RAIN_WATER_CONTENT__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_RAIN_WATER_CONTENT__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_SNOW_WATER_CONTENT__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,SPECIFIC_SNOW_WATER_CONTENT__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,TEMPERATURE__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,TEMPERATURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,TOTAL_PRECIPITATION_RATE_DBZ__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,TOTAL_PRECIPITATION_RATE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,TOTAL_PRECIPITATION_RATE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,TURBULENT_KINETIC_ENERGY__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,TURBULENT_KINETIC_ENERGY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,U_COMPONENT_OF_WIND__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,U_COMPONENT_OF_WIND__POTENTIAL_VORTICITY_SURFACE_1500,OK,OK — 13965/13965 punts vàlids
arome0025,U_COMPONENT_OF_WIND__POTENTIAL_VORTICITY_SURFACE_2000,OK,OK — 13965/13965 punts vàlids
arome0025,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,VERTICAL_VELOCITY_GEOMETRIC__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,VERTICAL_VELOCITY_PRESSURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,VIRTUAL_POTENTIAL_TEMPERATURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,VIRTUAL_POTENTIAL_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,V_COMPONENT_OF_WIND__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,V_COMPONENT_OF_WIND__POTENTIAL_VORTICITY_SURFACE_1500,OK,OK — 13965/13965 punts vàlids
arome0025,V_COMPONENT_OF_WIND__POTENTIAL_VORTICITY_SURFACE_2000,OK,OK — 13965/13965 punts vàlids
arome0025,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,WIND_SPEED__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,WIND_SPEED__POTENTIAL_VORTICITY_SURFACE_1500,OK,OK — 13965/13965 punts vàlids
arome0025,WIND_SPEED__POTENTIAL_VORTICITY_SURFACE_2000,OK,OK — 13965/13965 punts vàlids
arome0025,WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome001,AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,KO,HTTP 404 — coverage no existeix
arome001,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome001,GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
arome001,PRESSURE__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,PRESSURE__MEAN_SEA_LEVEL,KO,HTTP 429
arome001,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,SNOW_DEPTH__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,TEMPERATURE__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,KO,HTTP 429
arome001,WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
arome001,WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 429
aromepi,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,DIAG_GRELE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,MOCON__GROUND_OR_WATER_SURFACE,KO,HTTP 404 — coverage no existeix
aromepi,PRECIPITATION_TYPE_15_MIN__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,PRESSURE__SEA_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,SEVERE_PRECIPITATION_TYPE_15_MIN__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,TEMPERATURE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,TOTAL_PRECIPITATION_RATE__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,TPW_27315_HEIGHT__LEVEL_OF_ADIABATIC_CONDESATION,OK,OK — 86391/86391 punts vàlids
aromepi,TPW_27415_HEIGHT__LEVEL_OF_ADIABATIC_CONDESATION ,OK,OK — 86391/86391 punts vàlids
aromepi,TPW_27465_HEIGHT__LEVEL_OF_ADIABATIC_CONDESATION,OK,OK — 86391/86391 punts vàlids
aromepi,U_COMPONENT_OF_WIND_GUST_15MIN__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,VISIBILITY_MINI_15MIN__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,VISIBILITY_MINI_PRECIP_15MIN__GROUND_OR_WATER_SURFACE,OK,OK — 86391/86391 punts vàlids
aromepi,V_COMPONENT_OF_WIND_GUST_15MIN__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,WETB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
aromepi,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
